Country,sex,sucide
Afghanistan," Male",11.0
Albania," Male",7.0
Algeria," Male",5.0
Angola," Male",14.0
Argentina," Male",15.0
Armenia," Male",10.0
Australia," Male",17.0
Austria," Male",18.0
Azerbaijan," Male",4.0
Bahamas," Male",3.0
Bahrain," Male",8.0
Barbados," Male",1.0
Belarus," Male",39.0
Belgium," Male",22.0
Belize," Male",10.0
Benin," Male",23.0
Bhutan," Male",14.0
"Bolivia (Plurinational State of)"," Male",17.0
"Bosnia and Herzegovina"," Male",11.0
Botswana," Male",18.0
Brazil," Male",10.0
"Brunei Darussalam"," Male",6.0
Bulgaria," Male",13.0
"Burkina Faso"," Male",22.0
Burundi," Male",23.0
"C̫te d'Ivoire"," Male",32.0
"Cabo Verde"," Male",24.0
Cambodia," Male",9.0
Cameroon," Male",27.0
Canada," Male",15.0
"Central African Republic"," Male",18.0
Chad," Male",17.0
Chile," Male",16.0
China," Male",8.0
Colombia," Male",12.0
Comoros," Male",18.0
Congo," Male",14.0
"Costa Rica"," Male",13.0
Croatia," Male",19.0
Cuba," Male",16.0
Cyprus," Male",7.0
Czechia," Male",17.0
"Democratic People's Republic of Korea"," Male",15.0
"Democratic Republic of the Congo"," Male",15.0
Denmark," Male",13.0
Djibouti," Male",12.0
"Dominican Republic"," Male",18.0
Ecuador," Male",11.0
Egypt," Male",7.0
"El Salvador"," Male",25.0
"Equatorial Guinea"," Male",31.0
Eritrea," Male",22.0
Estonia," Male",26.0
Eswatini," Male",25.0
Ethiopia," Male",19.0
Fiji," Male",9.0
Finland," Male",21.0
France," Male",18.0
Gabon," Male",15.0
Gambia," Male",13.0
Georgia," Male",12.0
Germany," Male",14.0
Ghana," Male",16.0
Greece," Male",6.0
Grenada," Male",2.0
Guatemala," Male",4.0
Guinea," Male",13.0
Guinea-Bissau," Male",9.0
Guyana," Male",47.0
Haiti," Male",18.0
Honduras," Male",5.0
Hungary," Male",22.0
Iceland," Male",22.0
India," Male",19.0
Indonesia," Male",5.0
"Iran (Islamic Republic of)"," Male",5.0
Iraq," Male",5.0
Ireland," Male",18.0
Israel," Male",8.0
Italy," Male",8.0
Jamaica," Male",3.0
Japan," Male",21.0
Jordan," Male",5.0
Kazakhstan," Male",40.0
Kenya," Male",10.0
Kiribati," Male",26.0
Kuwait," Male",3.0
Kyrgyzstan," Male",15.0
"Lao People's Democratic Republic"," Male",13.0
Latvia," Male",31.0
Lebanon," Male",4.0
Liberia," Male",14.0
Libya," Male",9.0
Lithuania," Male",48.0
Luxembourg," Male",15.0
Madagascar," Male",11.0
Malawi," Male",14.0
Malaysia," Male",9.0
Maldives," Male",4.0
Mali," Male",14.0
Malta," Male",10.0
Mauritania," Male",12.0
Mauritius," Male",13.0
Mexico," Male",8.0
"Micronesia (Federated States of)"," Male",16.0
Mongolia," Male",23.0
Montenegro," Male",13.0
Mozambique," Male",14.0
Namibia," Male",19.0
Nepal," Male",11.0
Netherlands," Male",13.0
"New Zealand"," Male",17.0
Nicaragua," Male",19.0
Niger," Male",12.0
Nigeria," Male",18.0
Norway," Male",14.0
Oman," Male",5.0
Pakistan," Male",3.0
Panama," Male",8.0
"Papua New Guinea"," Male",10.0
Paraguay," Male",12.0
Peru," Male",8.0
Philippines," Male",5.0
Poland," Male",24.0
Portugal," Male",14.0
Qatar," Male",7.0
"Republic of Korea"," Male",30.0
"Republic of Moldova"," Male",24.0
"Republic of North Macedonia"," Male",10.0
Romania," Male",14.0
"Russian Federation"," Male",48.0
Rwanda," Male",17.0
"Saint Lucia"," Male",13.0
"Saint Vincent and the Grenadines"," Male",4.0
Samoa," Male",9.0
"Sao Tome and Principe"," Male",4.0
"Saudi Arabia"," Male",5.0
Senegal," Male",20.0
Serbia," Male",17.0
Seychelles," Male",15.0
"Sierra Leone"," Male",18.0
Singapore," Male",11.0
Slovakia," Male",18.0
Slovenia," Male",22.0
"Solomon Islands"," Male",9.0
Somalia," Male",12.0
"South Africa"," Male",22.0
"South Sudan"," Male",8.0
Spain," Male",9.0
"Sri Lanka"," Male",23.0
Sudan," Male",15.0
Suriname," Male",36.0
Sweden," Male",16.0
Switzerland," Male",16.0
"Syrian Arab Republic"," Male",4.0
Tajikistan," Male",5.0
Thailand," Male",21.0
Timor-Leste," Male",9.0
Togo," Male",23.0
Tonga," Male",5.0
"Trinidad and Tobago"," Male",22.0
Tunisia," Male",4.0
Turkey," Male",11.0
Turkmenistan," Male",11.0
Uganda," Male",21.0
Ukraine," Male",35.0
"United Arab Emirates"," Male",4.0
"United Kingdom of Great Britain and Northern Ireland"," Male",12.0
"United Republic of Tanzania"," Male",14.0
"United States of America"," Male",21.0
Uruguay," Male",27.0
Uzbekistan," Male",10.0
Vanuatu," Male",8.0
"Venezuela (Bolivarian Republic of)"," Male",7.0
"Viet Nam"," Male",11.0
Yemen," Male",13.0
Zambia," Male",18.0
Zimbabwe," Male",29.0
